,Lawyer,Matter Type,Jurisdiction,Industry,Client Role,Tort,Contract,Restitution,Statute,Injunction,Jurisdiction Motion,Motion to Strike,Summary Judgment,Claim Amount
0,Lawyer Iota,Class Action (Securities),British Columbia,Resources,Defendant,0,0,0,1,1,1,1,1,11907902
1,Lawyer Beta,Class Action (Competition),British Columbia,Retail,Plaintiff,1,1,1,1,0,1,1,0,16003023
2,Lawyer Epsilon,Class Action (Privacy,Alberta,Pharmaceuticals,Plaintiff,1,0,0,0,0,1,1,1,19069229
3,Lawyer Eta,Action (Commercial),Ontario,Insurance,Defendant,0,1,1,0,1,0,1,0,1244921
4,Lawyer Theta,Class Action (Securities),British Columbia,Technology,Plaintiff,0,0,1,0,1,0,0,0,6633831
5,Lawyer Epsilon,Action (Securities),Alberta,Resources,Plaintiff,1,0,1,1,1,1,0,0,1004851
6,Lawyer Gamma,Action (Securities),Federal,Insurance,Third Party,0,0,1,1,0,0,0,1,7723376
7,Lawyer Kappa,Class Action (Product Liabilty,Alberta,Pharmaceuticals,Third Party,1,0,0,1,0,0,1,1,3122166
8,Lawyer Delta,Action (Privacy),Federal,Retail,Third Party,1,0,1,1,1,1,0,0,855501
9,Lawyer Beta,Action (Product Liability),Quebec,Insurance,Defendant,0,0,0,0,1,1,0,1,6154303
10,Lawyer Delta,Action (Commercial),British Columbia,Technology,Plaintiff,0,0,1,1,0,0,0,0,8740654
11,Lawyer Delta,Class Action (Product Liabilty,Quebec,Banking,Plaintiff,1,1,1,1,0,0,1,0,10249430
12,Lawyer Zeta,Action (Commercial),Ontario,Construction,Plaintiff,0,1,1,1,0,1,1,0,10815846
13,Lawyer Zeta,Action (Commercial),Alberta,Retail,Third Party,0,0,0,0,0,0,0,0,2813025
14,Lawyer Epsilon,Class Action (Product Liabilty,Alberta,Insurance,Defendant,1,0,1,0,0,0,1,1,14208001
15,Lawyer Kappa,Class Action (Privacy,Alberta,Retail,Defendant,0,1,0,1,0,1,0,0,10113227
16,Lawyer Epsilon,Action (Securities),British Columbia,Resources,Third Party,1,1,1,1,1,0,0,1,8751184
17,Lawyer Alpha,Action (Securities),Ontario,Banking,Plaintiff,1,0,1,0,0,0,1,0,2622021
18,Lawyer Kappa,Class Action (Privacy,Ontario,Transportation,Plaintiff,1,0,0,1,1,1,0,0,10677187
19,Lawyer Iota,Class Action (Privacy,Ontario,Banking,Defendant,1,1,1,0,1,0,0,1,5419328
20,Lawyer Theta,Class Action (Privacy,British Columbia,Construction,Plaintiff,0,0,0,1,1,1,0,1,18319379
21,Lawyer Iota,Action (Securities),Alberta,Retail,Third Party,1,0,0,1,0,1,1,0,2918353
22,Lawyer Theta,Action (Securities),Alberta,Technology,Defendant,0,0,0,0,1,1,0,1,6889885
23,Lawyer Gamma,Action (Product Liability),British Columbia,Resources,Defendant,1,0,1,0,0,1,1,0,18270963
24,Lawyer Gamma,Action (Product Liability),Ontario,Retail,Plaintiff,1,0,0,1,0,1,1,1,18333050
